asin,keyword_id_list
B0BTPZMCSF,"[120959425, 120959423]"
B0BTTDHKS7,[120959537]
B0BV6YQ1CQ,"[120959418, 120959223]"
B0BVD5Z3G2,[120959423]
B0BVFP6KXC,"[120959424, 120959537, 120959418, 120959420, 120959421, 120959422, 120959423]"
B0BVGLVTGN,[120959423]
B0BVLWRDFQ,"[120959419, 120959565]"
B0BWGF3XFW,[120959423]
B0BWNR147F,[120959424]
B0BWYBB6GL,[120959222]
B0BWYC2DRK,"[120959418, 120959222, 120959223]"
B0BX3XT6N1,"[120959537, 120959420, 120959421, 120959422]"
B0BX4KVWMC,[120959047]
B0BX4RTQS4,[120959424]
B0BXD7TL5V,[120959424]
B0BXFTMS6R,[120959419]
B0BXJSNF6L,[120959423]
B0BXJSSJ24,[120959423]
B0BXJT47XV,[120959423]
B0BY3M2RR7,[121095980]
B0BYC52LYP,[120959425]
B0BYF8T4JF,[120959425]
B0BYFBRMWP,[120959425]
B0BYFG1WJD,[120959423]
B0BYFJB9BC,[120959423]
B0BYG8Q188,[121095973]
B0BYH9X113,"[120959419, 120959565]"
B0BZB9B47Y,[120959425]
B0BZBCWSS7,[121095973]
B0BZBNFRVS,"[120959425, 121095980]"
B0BZGJGHTX,[120959424]
B0BZJMDXPG,"[120959424, 120959537, 120959422]"
B0BZNL681S,[120959423]
B0C14N4VFN,[120959223]
B0C1DL17P4,[120959419]
B0C1F84XKC,[120959423]
B0C1NBY2JK,[120959047]
B0C1R6TS24,"[120959424, 120959537]"
B0C1X9BQYC,[120959537]
B0C1YHFY8Y,[120959423]
B0C2977VVG,"[120959419, 120959565]"
B0C29DSYY4,[120959565]
B0C2BQMP3V,[120959047]
B0C2HVPD4V,"[120959419, 120959565]"
B0C2VL4BBJ,[120959418]
B0C2X467HF,"[120959222, 120959223]"
B0C2X6GHKP,"[120959222, 120959223]"
B0C2X736QB,"[120959419, 120959565]"
B0C2XJ8CWX,"[120959222, 120959223]"
B0C2ZTFFG9,[120959423]
B0C33DPML8,"[120959424, 120959537, 120959420]"
B0C36LXZWX,[120959565]
B0C373DXCF,"[120959418, 120959222, 120959223]"
B0C3H6P45P,[120959425]
B0C3L4YJRJ,[120959537]
B0C3RBK7VY,[120959425]
B0C3RCVW1T,"[120959425, 120959420, 121095980, 120959047]"
B0C41V3QJJ,[120959222]
B0C41VQ44X,[120959223]
B0C4686WVS,[120959047]
B0C46TMG7W,"[120959424, 120959420, 120959422]"
B0C4BZ7SQJ,[120959047]
B0C4CFB1ZQ,[120959423]
B0C4KDXKWL,[120959047]
B0C4KGMD99,[120959047]
B0C4PMSGSK,"[120959420, 120959421]"
B0C4TK653G,"[120959419, 120959565]"
B0C4TNKZFG,"[120959537, 120959420, 120959421, 120959422]"
B0C4TP5FN2,"[120959425, 121095980, 121095973]"
B0C4XY75M6,[120959425]
B0C549MG8Y,[120959423]
B0C549VS6H,[120959423]
B0C5MMQ27W,"[120959424, 120959422]"
B0C5WV4DCS,[120959425]
B0C65GM4GV,[120959419]
B0C6B76XKH,[120959537]
B0C6FCC8LL,[120959423]
B0C6N25Q2S,[120959537]
B0C6N2SML9,[120959537]
B0C6N8NCVL,[120959537]
B0C6YKC637,[120959425]
B0C6YMBFC8,[120959425]
B0C6ZG3C2W,"[120959419, 120959565]"
B0C77J1KNT,[120959420]
B0C7HGQLF7,"[120959420, 121095972]"
B0C7JH3GV5,"[120959425, 120959420, 121095972, 121095973]"
B0C7LLN2Z8,[120959423]
B0C7V1614W,[120959222]
B0C85V3MCF,[120959537]
B0C87HH11W,[120959423]
B0C8JWD5BH,[120959425]
B0C8JXXYR8,[120959425]
B0C99CFFBX,[120959047]
B0C9JLWTW1,[120959537]
B0C9LPJSHX,[120959423]
B0C9MHS5YR,[120959418]
B0C9N19JCQ,[120959423]
B0C9N1ZZQP,[120959423]
B0C9N29M4M,[120959423]
B0C9N2NBPN,[120959423]
B0C9T9Y5L8,[120959423]
B0CB14GP58,[120959223]
B0CB14WT31,[120959423]
B0CB75QJDV,"[120959418, 120959420]"
B0CBJ6FZK5,[120959418]
B0CBS4S97H,[120959047]
B0CC23CWG7,"[120959419, 120959565]"
B0CC8ZWWGL,"[120959424, 120959537, 120959420, 120959421, 120959422]"
